timestamp,resource,metric_name,value,unit,alarm_name,alarm_state
15/07/2026 12:00,MediCore-Web-VM-01,CPUUtilization,28.48,Percent,,OK
15/07/2026 12:00,MediCore-Web-VM-01,NetworkIn,3836092,Bytes,,OK
15/07/2026 12:00,MediCore-Web-VM-01,NetworkOut,2882931,Bytes,,OK
15/07/2026 12:00,MediCore-Web-VM-01,FailedSSHAttempts,0,Count,,OK
15/07/2026 12:00,medicore-db,CPUUtilization,17.59,Percent,,OK
15/07/2026 13:00,MediCore-Web-VM-01,CPUUtilization,21.06,Percent,,OK
15/07/2026 13:00,MediCore-Web-VM-01,NetworkIn,4169373,Bytes,,OK
15/07/2026 13:00,MediCore-Web-VM-01,NetworkOut,2043359,Bytes,,OK
15/07/2026 13:00,MediCore-Web-VM-01,FailedSSHAttempts,0,Count,,OK
15/07/2026 13:00,medicore-db,CPUUtilization,19.63,Percent,,OK
15/07/2026 14:00,MediCore-Web-VM-01,CPUUtilization,16.46,Percent,,OK
15/07/2026 14:00,MediCore-Web-VM-01,NetworkIn,4047269,Bytes,,OK
15/07/2026 14:00,MediCore-Web-VM-01,NetworkOut,2287625,Bytes,,OK
15/07/2026 14:00,MediCore-Web-VM-01,FailedSSHAttempts,0,Count,,OK
15/07/2026 14:00,medicore-db,CPUUtilization,13.76,Percent,,OK
15/07/2026 15:00,MediCore-Web-VM-01,CPUUtilization,15.93,Percent,,OK
15/07/2026 15:00,MediCore-Web-VM-01,NetworkIn,27448998,Bytes,High-NetworkIn-WebVM,ALARM
15/07/2026 15:00,MediCore-Web-VM-01,NetworkOut,2471144,Bytes,,OK
15/07/2026 15:00,MediCore-Web-VM-01,FailedSSHAttempts,0,Count,,OK
15/07/2026 15:00,medicore-db,CPUUtilization,17.12,Percent,,OK
15/07/2026 16:00,MediCore-Web-VM-01,CPUUtilization,31.23,Percent,,OK
15/07/2026 16:00,MediCore-Web-VM-01,NetworkIn,4153046,Bytes,,OK
15/07/2026 16:00,MediCore-Web-VM-01,NetworkOut,3440880,Bytes,,OK
15/07/2026 16:00,MediCore-Web-VM-01,FailedSSHAttempts,0,Count,,OK
15/07/2026 16:00,medicore-db,CPUUtilization,21.58,Percent,,OK
15/07/2026 17:00,MediCore-Web-VM-01,CPUUtilization,11.3,Percent,,OK
